generator_id,fuel_type,capacity_mw,min_gen_mw,heat_rate_mmbtu_per_mwh,fuel_cost_per_mmbtu,variable_om_cost,startup_cost,ramp_rate_mw_per_hr,is_renewable,min_up_time,min_down_time
Nuke_1,Nuclear,1286,1157,10.0,0.7,2,80000,50,0,24,24
Nuke_2,Nuclear,1285,1156,10.0,0.7,2,80000,50,0,24,24
Nuke_3,Nuclear,1258,1132,10.0,0.7,2,80000,50,0,24,24
Nuke_4,Nuclear,1296,1166,10.0,0.7,2,80000,50,0,24,24
Coal_1,Coal,757,302,10.5,2.5,4,30000,100,0,12,10
Coal_2,Coal,713,285,10.5,2.5,4,30000,100,0,12,10
Coal_3,Coal,801,320,10.5,2.5,4,30000,100,0,12,10
Coal_4,Coal,879,351,10.5,2.5,4,30000,100,0,12,10
Coal_5,Coal,810,324,10.5,2.5,4,30000,100,0,12,10
Coal_6,Coal,774,309,10.5,2.5,4,30000,100,0,12,10
Coal_7,Coal,800,320,10.5,2.5,4,30000,100,0,12,10
Coal_8,Coal,895,358,10.5,2.5,4,30000,100,0,12,10
Coal_9,Coal,808,323,10.5,2.5,4,30000,100,0,12,10
Coal_10,Coal,628,251,10.5,2.5,4,30000,100,0,12,10
CCGT_1,Gas,945,283,7.0,3.0,3,15000,300,0,6,4
CCGT_2,Gas,932,279,7.0,3.0,3,15000,300,0,6,4
CCGT_3,Gas,1119,335,7.0,3.0,3,15000,300,0,6,4
CCGT_4,Gas,1022,306,7.0,3.0,3,15000,300,0,6,4
CCGT_5,Gas,1047,314,7.0,3.0,3,15000,300,0,6,4
CCGT_6,Gas,1064,319,7.0,3.0,3,15000,300,0,6,4
CCGT_7,Gas,848,254,7.0,3.0,3,15000,300,0,6,4
CCGT_8,Gas,895,268,7.0,3.0,3,15000,300,0,6,4
CCGT_9,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4
CCGT_10,Gas,973,291,7.0,3.0,3,15000,300,0,6,4
CCGT_11,Gas,1141,342,7.0,3.0,3,15000,300,0,6,4
