generator_id,fuel_type,capacity_mw,min_gen_mw,heat_rate_mmbtu_per_mwh,fuel_cost_per_mmbtu,variable_om_cost,startup_cost,ramp_rate_mw_per_hr,is_renewable,marginal_cost,generation_mw,timestamp,demand_mw,renewable_gen_mw,net_load_mw,curtailment_mw
Nuke_1,Nuclear,1000,900,10.0,0.7,2,50000,50,0,9.0,50,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
GasCC_1,Gas,500,200,7.0,3.0,3,10000,200,0,24.0,200,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
GasCC_2,Gas,400,150,7.2,3.0,3,8000,180,0,24.6,180,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
Coal_1,Coal,600,300,10.5,2.5,4,20000,100,0,30.25,100,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
Coal_2,Coal,400,200,10.8,2.5,4,15000,80,0,31.0,80,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
GasCT_1,Gas,200,0,10.0,3.0,5,2000,300,0,35.0,200,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
GasCT_2,Gas,150,0,10.5,3.0,5,1500,300,0,36.5,150,2024-01-01 00:00:00,46594.64995,153.0,48763.7324475,0
Nuke_1,Nuclear,1000,900,10.0,0.7,2,50000,50,0,9.0,100,2024-01-01 01:00:00,41223.480177,170.99999999999997,43105.10418585,0
GasCC_1,Gas,500,200,7.0,3.0,3,10000,200,0,24.0,400,2024-01-01 01:00:00,41223.480177,170.99999999999997,43105.10418585,0
GasCC_2,Gas,400,150,7.2,3.0,3,8000,180,0,24.6,360,2024-01-01 01:00:00,41223.480177,170.99999999999997,43105.10418585,0
Coal_1,Coal,600,300,10.5,2.5,4,20000,100,0,30.25,200,2024-01-01 01:00:00,41223.480177,170.99999999999997,43105.10418585,0
Coal_2,Coal,400,200,10.8,2.5,4,15000,80,0,31.0,160,2024-01-01 01:00:00,41223.480177,170.99999999999997,43105.10418585,0
