generator_id,timestamp,generation_mw,on_status,startup,demand_mw,renewable_gen_mw,net_load_mw,load_shedding_mw,total_generation_mw,curtailment_mw
Nuke_1,2024-01-01 00:00:00,,,,46594.64995,153.0,46441.64995,,0,0
Nuke_1,2024-01-01 01:00:00,,,,41223.480177,170.99999999999997,41052.480177,,0,0
Nuke_1,2024-01-01 02:00:00,,,,41479.399746,99.0,41380.399746,,0,0
Nuke_1,2024-01-01 03:00:00,,,,41472.770126,135.0,41337.770126,,0,0
Nuke_1,2024-01-01 04:00:00,,,,41477.440791,177.0,41300.440791,,0,0
Nuke_1,2024-01-01 05:00:00,,,,42184.192955,120.0,42064.192955,,0,0
Nuke_1,2024-01-01 06:00:00,,,,43149.502626,156.0,42993.502626,,0,0
Nuke_1,2024-01-01 07:00:00,,,,44467.646479,188.0,44279.646479,,0,0
Nuke_1,2024-01-01 08:00:00,,,,45310.81863,215.0,45095.81863,,0,0
Nuke_1,2024-01-01 09:00:00,,,,46036.217054,303.5,45732.717054,,0,0
Nuke_1,2024-01-01 10:00:00,,,,46495.645376,343.5,46152.145376,,0,0
Nuke_1,2024-01-01 11:00:00,,,,46658.925817,347.5,46311.425817,,0,0
Nuke_1,2024-01-01 12:00:00,,,,46279.240279,370.0,45909.240279,,0,0
Nuke_1,2024-01-01 13:00:00,,,,45671.307416,344.5,45326.807416,,0,0
Nuke_1,2024-01-01 14:00:00,,,,44589.753392,349.5,44240.253392,,0,0
Nuke_1,2024-01-01 15:00:00,,,,43918.993587,354.5,43564.493587,,0,0
Nuke_1,2024-01-01 16:00:00,,,,43782.108608,305.0,43477.108608,,0,0
Nuke_1,2024-01-01 17:00:00,,,,44363.471906,188.0,44175.471906,,0,0
Nuke_1,2024-01-01 18:00:00,,,,46787.294229,177.0,46610.294229,,0,0
Nuke_1,2024-01-01 19:00:00,,,,48887.936422,93.0,48794.936422,,0,0
Nuke_1,2024-01-01 20:00:00,,,,49122.190807,138.0,48984.190807,,0,0
Nuke_1,2024-01-01 21:00:00,,,,49255.312657,135.0,49120.312657,,0,0
Nuke_1,2024-01-01 22:00:00,,,,48927.277938,117.0,48810.277938,,0,0
Nuke_1,2024-01-01 23:00:00,,,,47870.218872,122.99999999999999,47747.218872,,0,0
Nuke_1,2024-01-02 00:00:00,,,,46646.865378,162.0,46484.865378,,0,0
